,,precision,recall,F1
test_ATT,Building Elements,0.9575233981274603,0.9486447931519625,0.9530634176290305
test_ATT,Urban Form Elements,0.9925256929302422,0.9740220048896778,0.9831867957360513
test_ATT,Gastronomy,0.8679245282986117,0.8646616541320877,0.8662900183291307
test_ATT,Interior Scenery,0.8524332810033713,0.9766187050342148,0.9103101419986833
test_ATT,Natural Features and Land-scape Scenery,0.9933431952659049,0.9889543446240836,0.991143910938751
test_ATT,Monuments and Buildings,0.9848389134548422,0.9695273631834767,0.9771231583837806
test_ATT,Peoples Activity and Association,0.9853451600458984,0.918734268248501,0.9508745808177125
test_ATT,Artifact Products,0.3642172523950025,0.9827586206811831,0.5314685310714895
test_ATT,Urban Scenery,0.8589743589688528,0.9999999999925374,0.9241379305309868
val_ATT,Building Elements,0.9718934911235415,0.9379014989286667,0.9545949867860613
val_ATT,Urban Form Elements,0.9909063352528067,0.979622415342829,0.9852320670102679
val_ATT,Gastronomy,0.9249999999966965,0.9151943462865187,0.9200710474541168
val_ATT,Interior Scenery,0.8382352941164144,0.9810671256437503,0.9040444087006962
val_ATT,Natural Features and Land-scape Scenery,0.9962783773721636,0.9878228782284177,0.9920326102092948
val_ATT,Monuments and Buildings,0.9838709677412742,0.9682539682533279,0.9759999994993812
val_ATT,Peoples Activity and Association,0.9863117870718683,0.9264285714282405,0.9554327803472836
val_ATT,Artifact Products,0.3496503496491271,0.9803921568531334,0.5154639171355617
val_ATT,Urban Scenery,0.8562874251445732,0.999999999993007,0.9225806446583351
test_VAL,Criterion i,0.8941176470575086,0.75999999999905,0.8216216211237982
test_VAL,Criterion ii,0.4923439340394672,0.9351230425035009,0.6450617279421735
test_VAL,Criterion iii,0.7112632233971927,0.7707349966279361,0.7398058247430448
test_VAL,Criterion iv,0.6884328358196111,0.6936090225550872,0.6910112354537691
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.9370424597361824,0.835945663531652,0.8836117625829776
test_VAL,Criterion vii,0.49999999995833333,0.59999999994,0.5454545449090908
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.8888888887901234,0.79999999992,0.8421052625706371
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8905547226373455,0.7306273062721641,0.8027027022064838
val_VAL,Criterion ii,0.501809408925812,0.9285714285693559,0.6515270159882801
val_VAL,Criterion iii,0.7080291970798613,0.7896879240157465,0.7466324562040221
val_VAL,Criterion iv,0.6956521739118802,0.6853377265227589,0.6904564310341516
val_VAL,Criterion v,0.2499999999375,0.9999999989999999,0.39999999952
val_VAL,Criterion vi,0.9405940594056584,0.8402573036717126,0.8875990934990708
val_VAL,Criterion vii,0.9999999998,0.49999999995,0.6666666661333333
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.624999999921875,0.624999999921875,0.624999999421875
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.8673531193214481,0.8192219679632304,0.8426007644311039
test_VAL_k,Criterion ii,0.43055555555550307,0.9349206349203876,0.589589589157708
test_VAL_k,Criterion iii,0.9746184472461306,0.8936720413750687,0.932391683360594
test_VAL_k,Criterion iv,0.9062262718298592,0.8393108298171097,0.8714859432757821
test_VAL_k,Criterion v,0.27777777777263374,0.4166666666550926,0.3333333328459259
test_VAL_k,Criterion vi,0.9676084218102713,0.8969140950791828,0.930921052132244
test_VAL_k,Criterion vii,0.6874999999928385,0.8799999999882666,0.7719298240599157
test_VAL_k,Criterion viii,0.14285714285034012,0.49999999991666666,0.22222222186008228
test_VAL_k,Criterion ix,0.3571428571343538,0.7142857142517007,0.4761904757309146
test_VAL_k,Criterion x,0.9999999999824563,0.9999999999824563,0.9999999994824562
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8744019138754237,0.8204264870930003,0.8465547186665278
val_VAL_k,Criterion ii,0.41089630931453885,0.9307324840761861,0.5701048520499785
val_VAL_k,Criterion iii,0.9737896494156386,0.8942204507128164,0.932310396687783
val_VAL_k,Criterion iv,0.9059549046058388,0.8276408450703739,0.8650289810080055
val_VAL_k,Criterion v,0.40909090908471074,0.6428571428418368,0.4999999995154321
val_VAL_k,Criterion vi,0.9675300985041367,0.8878473384666394,0.9259776531321531
val_VAL_k,Criterion vii,0.524999999995625,0.7241379310261593,0.6086956516807392
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.18749999999609376,0.9999999998888889,0.3157894734072022
val_VAL_k,Criterion x,0.764705882337947,0.8666666666474074,0.812499999485026
val_VAL_k,Others,0.0,0.0,0.0
