,,precision,recall,F1
test_ATT,Building Elements,0.9999999999843749,0.9696969696822773,0.984615384100355
test_ATT,Urban Form Elements,0.9931034482690132,0.9664429530136481,0.9795918362281225
test_ATT,Gastronomy,0.9090909090082645,0.8333333332638889,0.8695652168166352
test_ATT,Interior Scenery,0.8888888888395061,0.9999999999375,0.941176470034602
test_ATT,Natural Features and Land-scape Scenery,0.9861111110974151,0.9726027397127041,0.9793103443141021
test_ATT,Monuments and Buildings,0.9803921568531334,0.9900990098911872,0.9852216743671528
test_ATT,Peoples Activity and Association,0.9480519480396357,0.9999999999863013,0.9733333328207111
test_ATT,Artifact Products,0.0,0.0,0.0
test_ATT,Urban Scenery,0.9999999999166667,0.9999999999166667,0.9999999994166666
val_ATT,Building Elements,0.9672131147382425,0.9672131147382425,0.9672131142382424
val_ATT,Urban Form Elements,0.9863013698562583,0.9795918367280301,0.9829351530769143
val_ATT,Gastronomy,0.999999999875,0.79999999992,0.8888888882962963
val_ATT,Interior Scenery,0.9545454545020661,0.999999999952381,0.9767441855013521
val_ATT,Natural Features and Land-scape Scenery,0.9999999999866667,0.9868421052501731,0.9933774829305732
val_ATT,Monuments and Buildings,0.9999999999902912,0.9809523809430385,0.9903846148751386
val_ATT,Peoples Activity and Association,0.9838709677260666,0.9999999999836067,0.9918699181830921
val_ATT,Artifact Products,0.59999999988,0.9999999996666666,0.7499999993437498
val_ATT,Urban Scenery,0.79999999992,0.999999999875,0.8888888882962963
test_VAL,Criterion i,0.9473684210360112,0.870967741921436,0.9075630246957137
test_VAL,Criterion ii,0.8260869564858223,0.6551724137705113,0.730769230247781
test_VAL,Criterion iii,0.5714285714122449,0.799999999968,0.6666666661583334
test_VAL,Criterion iv,0.8749999999726563,0.848484848459137,0.861538461012071
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.8181818181632232,0.8571428571224491,0.837209301806382
test_VAL,Criterion vii,0.9999999989999999,0.9999999989999999,0.9999999984999999
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.0,0.0,0.0
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.9420289854935937,0.8783783783665083,0.9090909085788058
val_VAL,Criterion ii,0.47368421050138504,0.59999999996,0.5294117641816608
val_VAL,Criterion iii,0.7741935483621228,0.7499999999765626,0.7619047613807005
val_VAL,Criterion iv,0.9117647058555364,0.7749999999806251,0.8378378373184807
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.6799999999864,0.8095238095045352,0.7391304342703213
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.9574468085072432,0.9183673469356518,0.9374999994969617
test_VAL_k,Criterion ii,0.8252427184439313,0.7727272727249311,0.7981220652257414
test_VAL_k,Criterion iii,0.8529411764684978,0.8721804511256337,0.8624535310964379
test_VAL_k,Criterion iv,0.879699248118096,0.9212598425172671,0.8999999994979586
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.8446601941720238,0.8285714285687982,0.8365384610358265
test_VAL_k,Criterion vii,0.9999999998333333,0.9999999998333333,0.9999999993333333
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.9999999996666666,0.9999999996666666,0.9999999991666666
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.9537037037007602,0.9449541284374773,0.9493087552574627
val_VAL_k,Criterion ii,0.7757009345770227,0.8383838383810156,0.8058252422165928
val_VAL_k,Criterion iii,0.9160305343488142,0.8163265306103938,0.8633093520175714
val_VAL_k,Criterion iv,0.8309859154910071,0.8676470588214028,0.8489208628075496
val_VAL_k,Criterion v,0.374999999984375,0.9999999998888889,0.5454545450247934
val_VAL_k,Criterion vi,0.8672566371655833,0.8521739130410082,0.8596491223045424
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.0,0.0,0.0
val_VAL_k,Others,0.0,0.0,0.0
