,,precision,recall,F1
test_ATT,Building Elements,0.9301655867523901,0.9163120567369388,0.923186851946671
test_ATT,Urban Form Elements,0.983182809093434,0.9066628374494812,0.9433736734882862
test_ATT,Gastronomy,0.849056603770381,0.9221311475372044,0.8840864435052358
test_ATT,Interior Scenery,0.8759811616940723,0.8971061093233166,0.8864177913969947
test_ATT,Natural Features and Land-scape Scenery,0.9393491124256881,0.978051597997313,0.9583097523766577
test_ATT,Monuments and Buildings,0.8919772583696197,0.9283366206437026,0.909793813932603
test_ATT,Peoples Activity and Association,0.9533359043575189,0.8524137931031543,0.9000546144657343
test_ATT,Artifact Products,0.025559105431228246,0.6153846153372781,0.0490797545243517
test_ATT,Urban Scenery,0.3910256410231345,0.9838709677260666,0.559633027110765
val_ATT,Building Elements,0.9230769230762403,0.8952654232418255,0.9089584845686465
val_ATT,Urban Form Elements,0.9875719915122803,0.9092938878032628,0.9468177850280393
val_ATT,Gastronomy,0.8642857142826276,0.9490196078394156,0.9046728966939716
val_ATT,Interior Scenery,0.8794117647045891,0.9171779141090227,0.8978978973967706
val_ATT,Natural Features and Land-scape Scenery,0.9363602530699902,0.9782270606528078,0.9568358998611606
val_ATT,Monuments and Buildings,0.883736559139191,0.9293286219074705,0.9059593518937671
val_ATT,Peoples Activity and Association,0.9543726235737816,0.8610634648367543,0.9053201077065849
val_ATT,Artifact Products,0.013986013985965084,0.39999999996,0.02702702696155953
val_ATT,Urban Scenery,0.4371257485003765,0.9999999999863013,0.6083333329049653
test_VAL,Criterion i,0.7558823529400649,0.7752639517333707,0.765450483490005
test_VAL,Criterion ii,0.4699646643104005,0.819301848047599,0.5973053887573718
test_VAL,Criterion iii,0.6882389545733116,0.6610878661083914,0.6743902434022302
test_VAL,Criterion iv,0.5037313432826424,0.6923076923059172,0.5831533472433514
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.9200585651534641,0.8068823831533624,0.8597619368394412
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.3333333332962963,0.9999999996666666,0.49999999954166663
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.7721139430273282,0.756240822319007,0.7640949549885345
val_VAL,Criterion ii,0.47768395657360957,0.8198757763958181,0.6036585361192196
val_VAL,Criterion iii,0.6654501216540964,0.6539151225339785,0.6596321972687089
val_VAL,Criterion iv,0.5050167224071822,0.6990740740724558,0.5864077665021395
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.9150915091506405,0.7978027726913948,0.8524315254942804
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.804966686856288,0.6304554079695397,0.7071029524202735
test_VAL_k,Criterion ii,0.5003654970759625,0.7991827203734579,0.6154191948511359
test_VAL_k,Criterion iii,0.9445919044458668,0.8731789602821206,0.907482667442392
test_VAL_k,Criterion iv,0.782270311313542,0.8288415124697754,0.8048828120003653
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.9640093575669747,0.891644474034571,0.9264159095742046
test_VAL_k,Criterion vii,0.0,0.0,0.0
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.3157894736786704,0.8571428571020409,0.46153846113313607
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8050239234448155,0.654669260700283,0.7221030037970212
val_VAL_k,Criterion ii,0.46854130052718584,0.7929803688279212,0.5890410954233951
val_VAL_k,Criterion iii,0.9472454090149723,0.8711807154920481,0.9076221701798635
val_VAL_k,Criterion iv,0.804586625554005,0.817825661116499,0.8111521269528659
val_VAL_k,Criterion v,0.04545454545385675,0.49999999991666666,0.08333333317824075
val_VAL_k,Criterion vi,0.9613279824880845,0.8908045977010992,0.9247236352262367
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.11764705882122262,0.6666666665925925,0.19999999973833335
val_VAL_k,Others,0.0,0.0,0.0
