,,precision,recall,F1
test_ATT,Building Elements,0.9843749999846191,0.913043478247637,0.947368420539092
test_ATT,Urban Form Elements,0.9862068965449228,0.9225806451553382,0.9533333328275334
test_ATT,Gastronomy,0.9090909090082645,0.9090909090082645,0.9090909085082645
test_ATT,Interior Scenery,0.8888888888395061,0.9999999999375,0.941176470034602
test_ATT,Natural Features and Land-scape Scenery,0.9305555555426311,0.9305555555426311,0.9305555550426311
test_ATT,Monuments and Buildings,0.9313725490104767,0.969387755092149,0.9499999994906999
test_ATT,Peoples Activity and Association,0.8701298701185697,0.9571428571291837,0.9115646253390716
test_ATT,Artifact Products,0.0,0.0,0.0
test_ATT,Urban Scenery,0.9166666665902777,0.9166666665902777,0.9166666660902777
val_ATT,Building Elements,0.9672131147382425,0.8805970149122299,0.9218749994866943
val_ATT,Urban Form Elements,0.9657534246509195,0.9155844155784703,0.9399999994940889
val_ATT,Gastronomy,0.999999999875,0.79999999992,0.8888888882962963
val_ATT,Interior Scenery,0.8636363635971074,0.9999999999473684,0.9268292677501486
val_ATT,Natural Features and Land-scape Scenery,0.9333333333208889,0.9333333333208889,0.9333333328208888
val_ATT,Monuments and Buildings,0.9417475728063908,0.9417475728063908,0.9417475723063907
val_ATT,Peoples Activity and Association,0.822580645148023,0.894736842089566,0.8571428566293341
val_ATT,Artifact Products,0.0,0.0,0.0
val_ATT,Urban Scenery,0.69999999993,0.9999999998571428,0.8235294111833908
test_VAL,Criterion i,0.8596491227919361,0.8032786885114217,0.8305084740627694
test_VAL,Criterion ii,0.6956521738827978,0.7272727272396694,0.711111110579753
test_VAL,Criterion iii,0.7142857142653062,0.5208333333224827,0.6024096380519669
test_VAL,Criterion iv,0.5937499999814454,0.8260869564858223,0.6909090903973554
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.7045454545294422,0.8157894736627425,0.7560975604598453
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.0,0.0,0.0
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8405797101327451,0.8055555555443672,0.8226950349495497
val_VAL,Criterion ii,0.47368421050138504,0.6428571428112245,0.545454544932966
val_VAL,Criterion iii,0.7096774193319458,0.54999999998625,0.6197183093497322
val_VAL,Criterion iv,0.7941176470354672,0.8709677419073881,0.8307692302447337
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.699999999986,0.7608695652008507,0.7291666661523437
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.9574468085072432,0.857142857140136,0.9045226125638242
test_VAL_k,Criterion ii,0.6601941747551451,0.8095238095205972,0.7272727267752962
test_VAL_k,Criterion iii,0.9191176470565708,0.7812499999983724,0.8445945940959794
test_VAL_k,Criterion iv,0.8045112781934725,0.8842975206587209,0.8425196845382746
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.815533980579885,0.7924528301861873,0.803827750693711
test_VAL_k,Criterion vii,0.0,0.0,0.0
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.0,0.0,0.0
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.9259259259230681,0.9174311926577449,0.9216589856722943
val_VAL_k,Criterion ii,0.710280373829563,0.8735632183874577,0.7835051541417969
val_VAL_k,Criterion iii,0.9312977099212945,0.7530864197515369,0.8327645046231563
val_VAL_k,Criterion iv,0.8028169014065661,0.8702290076313735,0.8351648346636074
val_VAL_k,Criterion v,0.24999999998958333,0.9999999998333333,0.39999999965333327
val_VAL_k,Criterion vi,0.8672566371655833,0.8305084745739252,0.848484847982634
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.0,0.0,0.0
val_VAL_k,Others,0.0,0.0,0.0
