,,precision,recall,F1
test_ATT,Building Elements,0.9999999999843749,0.9846153846002367,0.9922480615001502
test_ATT,Urban Form Elements,0.9999999999931035,0.9731543624095762,0.9863945573165117
test_ATT,Gastronomy,0.9090909090082645,0.8333333332638889,0.8695652168166352
test_ATT,Interior Scenery,0.9444444443919753,0.9999999999411765,0.9714285708734692
test_ATT,Natural Features and Land-scape Scenery,0.9999999999861111,0.9863013698495027,0.9931034477621878
test_ATT,Monuments and Buildings,0.9803921568531334,0.99999999999,0.9900990093912362
test_ATT,Peoples Activity and Association,0.96103896102648,0.9999999999864865,0.9801324498183412
test_ATT,Artifact Products,0.0,0.0,0.0
test_ATT,Urban Scenery,0.9999999999166667,0.9999999999166667,0.9999999994166666
val_ATT,Building Elements,0.9999999999836067,0.9682539682385992,0.9838709672261968
val_ATT,Urban Form Elements,0.9863013698562583,0.9795918367280301,0.9829351530769143
val_ATT,Gastronomy,0.999999999875,0.79999999992,0.8888888882962963
val_ATT,Interior Scenery,0.9545454545020661,0.999999999952381,0.9767441855013521
val_ATT,Natural Features and Land-scape Scenery,0.9866666666535111,0.9487179487057856,0.967320260925456
val_ATT,Monuments and Buildings,0.9902912621263078,0.9902912621263078,0.9902912616263078
val_ATT,Peoples Activity and Association,0.9677419354682623,0.9999999999833334,0.9836065568610589
val_ATT,Artifact Products,0.39999999992,0.9999999995,0.5714285708571428
val_ATT,Urban Scenery,0.79999999992,0.999999999875,0.8888888882962963
test_VAL,Criterion i,0.9649122806848262,0.8730158730020157,0.916666666152639
test_VAL,Criterion ii,0.8260869564858223,0.6551724137705113,0.730769230247781
test_VAL,Criterion iii,0.5999999999828572,0.8076923076612426,0.6885245896522441
test_VAL,Criterion iv,0.8437499999736329,0.7714285714065306,0.8059701487306751
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.7727272727097108,0.8947368420817176,0.8292682921653778
test_VAL,Criterion vii,0.9999999989999999,0.9999999989999999,0.9999999984999999
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.0,0.0,0.0
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.9275362318706154,0.914285714272653,0.9208633088392939
val_VAL,Criterion ii,0.6842105262797784,0.6499999999675,0.6666666661328075
val_VAL,Criterion iii,0.7741935483621228,0.7999999999733334,0.7868852453759742
val_VAL,Criterion iv,0.9117647058555364,0.8157894736627425,0.8611111105887346
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.7799999999844001,0.8666666666474074,0.8210526310630472
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.9574468085072432,0.9090909090878482,0.932642486543746
test_VAL_k,Criterion ii,0.8446601941720238,0.7767857142834025,0.8093023250797621
test_VAL_k,Criterion iii,0.8749999999978554,0.8439716312036786,0.8592057756713802
test_VAL_k,Criterion iv,0.879699248118096,0.9212598425172671,0.8999999994979586
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.815533980579885,0.8749999999969619,0.8442211050254287
test_VAL_k,Criterion vii,0.49999999991666666,0.9999999996666666,0.666666666074074
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.0,0.0,0.0
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.9444444444415295,0.9444444444415295,0.9444444439415295
val_VAL_k,Criterion ii,0.8317757009319883,0.7739130434760176,0.8018018013000432
val_VAL_k,Criterion iii,0.9083969465625741,0.8040540540522432,0.8530465944818969
val_VAL_k,Criterion iv,0.8169014084487867,0.8854961832038537,0.8498168493155863
val_VAL_k,Criterion v,0.374999999984375,0.9999999998888889,0.5454545450247934
val_VAL_k,Criterion vi,0.8495575221213878,0.9230769230739645,0.8847926262262525
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.0,0.0,0.0
val_VAL_k,Others,0.0,0.0,0.0
