,,precision,recall,F1
ATT,Building Elements,0.9804337576612492,0.9556525735291921,0.9678845701305291
ATT,Urban Form Elements,0.9966105401267223,0.9693714771880283,0.9828023069020062
ATT,Gastronomy,0.9166666666653265,0.8326693227080576,0.8726513564936752
ATT,Interior Scenery,0.9020589872003884,0.959739490822404,0.9300057367345992
ATT,Natural Features and Land-scape Scenery,0.9889814565975559,0.9925826028319632,0.9907787569879208
ATT,Monuments and Buildings,0.9807776321535646,0.9782135076250591,0.9794938912973438
ATT,Peoples Activity and Association,0.9864583333332049,0.8755344967062434,0.9276924013874136
ATT,Artifact Products,0.08177570093451575,0.9292035398147858,0.150322118677151
ATT,Urban Scenery,0.7362385321084032,0.9999999999968847,0.8480845437629312
VAL,Criterion i,0.8673166596011584,0.7890474354027038,0.8263327943311543
VAL,Criterion ii,0.5880235602092316,0.865606936415768,0.7003117688086844
VAL,Criterion iii,0.6909000989118544,0.7906055461232238,0.7373977297739744
VAL,Criterion iv,0.7009646302247584,0.7633816908450408,0.7308429113779531
VAL,Criterion v,0.0,0.0,0.0
VAL,Criterion vi,0.9416507355996224,0.8230294224481784,0.87835323256158
VAL,Criterion vii,0.15789473683795016,0.5454545454049586,0.2448979588254894
VAL,Criterion viii,0.0,0.0,0.0
VAL,Criterion ix,0.0,0.0,0.0
VAL,Criterion x,0.6551724137705113,0.7307692307411242,0.6909090903854546
VAL,Others,0.0,0.0,0.0
VAL_k,Criterion i,0.6419736842104418,0.6376944190301087,0.639826896096866
VAL_k,Criterion ii,0.2687995216026178,0.7368852459015386,0.39390951872319685
VAL_k,Criterion iii,0.932943333624337,0.7418335821154322,0.826484635864841
VAL_k,Criterion iv,0.7489611128121803,0.6372399419405026,0.6885984310334836
VAL_k,Criterion v,0.03409090909077996,0.37499999998437505,0.0624999998467882
VAL_k,Criterion vi,0.8894560980136956,0.7632207709461309,0.8215173591256852
VAL_k,Criterion vii,0.16780821917750752,0.9423076922895712,0.28488372067195106
VAL_k,Criterion viii,0.0,0.0,0.0
VAL_k,Criterion ix,0.0,0.0,0.0
VAL_k,Criterion x,0.3888888888852881,0.9999999999761904,0.5599999995893333
VAL_k,Others,0.0,0.0,0.0
