,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
0,1333,0,0,4,1,12,2,0,0,1360,6,0,7,0,16,0,0,0,1466,9,0,2,0,20,4,0,0
1,2,3285,0,0,0,4,8,0,0,0,3200,0,0,0,5,6,0,0,0,2630,0,0,0,3,3,0,0
2,0,0,266,0,0,0,13,1,0,0,0,245,0,0,0,20,0,0,1,2,116,0,0,0,20,0,0
3,34,6,0,629,0,1,9,1,0,33,6,0,585,0,0,12,1,0,38,16,0,407,0,0,18,1,0
4,1,11,0,0,2668,0,6,1,0,6,9,0,1,2679,0,9,0,0,3,14,0,0,2013,0,19,2,0
5,3,19,0,1,2,1462,1,0,0,1,15,0,1,4,1560,2,0,0,2,34,0,0,3,1468,0,0,0
6,1,20,1,0,2,0,2606,0,0,1,23,0,0,3,0,2566,0,0,1,45,1,2,3,0,2404,1,0
7,14,2,47,10,0,0,166,47,0,16,3,59,19,0,0,179,37,0,35,11,18,21,0,0,579,21,0
8,1,13,0,0,14,10,1,0,128,0,11,0,0,11,15,0,0,119,0,13,0,0,12,14,0,0,74
