,,precision,recall,F1
test_ATT,Building Elements,0.9791216702656738,0.9597741707826678,0.9693513893781899
test_ATT,Urban Form Elements,0.9965742759261923,0.9776963030855552,0.9870450334294142
test_ATT,Gastronomy,0.9245283018833037,0.8059210526289279,0.8611599292005522
test_ATT,Interior Scenery,0.9183673469373338,0.9543230016297646,0.9359999994986867
test_ATT,Natural Features and Land-scape Scenery,0.990754437869456,0.9933259176859498,0.9920385108864136
test_ATT,Monuments and Buildings,0.9854706253941974,0.9774436090219439,0.9814407041234865
test_ATT,Peoples Activity and Association,0.9895873505588162,0.9183965640655267,0.9526638198084917
test_ATT,Artifact Products,0.11821086261943065,0.9736842105006926,0.2108262106319267
test_ATT,Urban Scenery,0.762820512815623,0.9999999999915966,0.8654545449573025
val_ATT,Building Elements,0.9859467455614009,0.9596832253412817,0.9726377229579732
val_ATT,Urban Form Elements,0.9957562897844814,0.9788438617398753,0.9872276478844131
val_ATT,Gastronomy,0.9499999999966072,0.8471337579590856,0.8956228951215183
val_ATT,Interior Scenery,0.9249999999986397,0.9767080745326449,0.9501510569007471
val_ATT,Natural Features and Land-scape Scenery,0.9929289170074459,0.9929289170074459,0.9929289165074459
val_ATT,Monuments and Buildings,0.9825268817197698,0.9818670248482325,0.9821968419581913
val_ATT,Peoples Activity and Association,0.9908745247144521,0.9267425320053604,0.957736125924316
val_ATT,Artifact Products,0.16433566433508975,0.9399999999812001,0.2797619045069091
val_ATT,Urban Scenery,0.7664670658636739,0.9999999999921876,0.867796609672347
train_ATT,Building Elements,0.9766822118581101,0.9482535575673039,0.9622579581473277
train_ATT,Urban Form Elements,0.9977238239753423,0.9480894015858154,0.9722735669676185
train_ATT,Gastronomy,0.8345323740947157,0.8592592592528945,0.8467153279610795
train_ATT,Interior Scenery,0.8479166666649002,0.9421296296274488,0.8925438591485504
train_ATT,Natural Features and Land-scape Scenery,0.981472452461735,0.9911373707528355,0.9862812341884066
train_ATT,Monuments and Buildings,0.9741207697405613,0.9754152823913784,0.9747675957808933
train_ATT,Peoples Activity and Association,0.9784289784285802,0.7889727600916348,0.8735465111333349
train_ATT,Artifact Products,0.030656934306524587,0.8399999999664,0.05915492950935529
train_ATT,Urban Scenery,0.6548672566313728,0.9999999999864865,0.7914438497806627
test_VAL,Criterion i,0.8764705882340053,0.7925531914883078,0.8324022341369729
test_VAL,Criterion ii,0.6065959952878603,0.8655462184859403,0.7132963984064492
test_VAL,Criterion iii,0.6944617299311173,0.7943060498214988,0.7410358560754621
test_VAL,Criterion iv,0.6716417910435231,0.7547169811304932,0.7107601179603126
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.9437774524155362,0.8330317911602912,0.8849533218520562
test_VAL,Criterion vii,0.08333333332638888,0.3333333332222222,0.13333333299555555
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.6666666665925925,0.6666666665925925,0.6666666660925925
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8725637181396213,0.777036048063048,0.8220338978056003
val_VAL,Criterion ii,0.5934861278641815,0.8723404255303682,0.7063890878157167
val_VAL,Criterion iii,0.6989051094886259,0.7951557093420103,0.7439300739593467
val_VAL,Criterion iv,0.673913043477134,0.7340619307819052,0.70270270220239
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.9444944494446611,0.8332451032290012,0.8853888337022434
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.624999999921875,0.8333333331944445,0.7142857136938775
val_VAL,Others,0.0,0.0,0.0
train_VAL,Criterion i,0.8577075098805754,0.794871794871067,0.8250950565341592
train_VAL,Criterion ii,0.5732946298979874,0.8615049073054946,0.688453158560969
train_VAL,Criterion iii,0.6841918294846593,0.7858017135859707,0.7314849976031367
train_VAL,Criterion iv,0.7315436241603724,0.7841726618696977,0.7569444439442963
train_VAL,Criterion v,0.0,0.0,0.0
train_VAL,Criterion vi,0.9384819231495478,0.8103955541025154,0.8697482671983455
train_VAL,Criterion vii,0.23809523808390023,0.7142857141836735,0.35714285674234697
train_VAL,Criterion viii,0.0,0.0,0.0
train_VAL,Criterion ix,0.0,0.0,0.0
train_VAL,Criterion x,0.6666666666111111,0.7272727272066115,0.6956521733534972
train_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.845548152634596,0.8445251058679482,0.8450363191124204
test_VAL_k,Criterion ii,0.540935672514554,0.8958837772395286,0.6745670004419881
test_VAL_k,Criterion iii,0.9756138022560841,0.8920066737448358,0.9319388316061742
