	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	True	True	True	True	True
1	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	True	True	True	True	True
2	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
3	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
4	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
5	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
6	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
7	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	True	True	False	False
8	False	False	False	True	True	False	False	False	False	True	False	True	False	False	True	True	True	True	False	False
9	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False
10	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
11	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
12	True	False	False	False	False	True	True	False	True	True	True	True	False	False	False	False	False	False	False	False
13	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
14	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
15	False	True	False	True	True	True	False	True	False	False	False	False	True	True	True	True	True	True	True	True
16	False	False	False	False	False	False	True	False	False	True	True	False	False	False	True	False	False	False	False	False
17	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
18	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
19	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False
20	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
21	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
22	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False
23	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
24	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
25	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
26	True	False	False	False	False	True	True	False	True	True	False	True	False	False	False	False	False	False	False	False
27	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
28	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
29	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
30	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
31	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False
32	False	False	False	False	False	True	False	False	False	True	False	True	False	False	True	True	True	True	True	True
33	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
34	True	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False
35	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
36	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
37	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False
38	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
39	False	False	True	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False
40	True	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False
41	False	False	True	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False
42	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
43	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
44	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
45	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False
46	True	False	False	True	True	False	False	False	False	True	True	True	False	False	True	False	False	False	False	False
47	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
48	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
49	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False
50	True	False	False	False	False	True	True	False	True	True	True	True	False	False	False	False	False	False	False	False
51	False	False	False	False	False	True	False	False	False	True	True	False	False	False	True	False	False	False	False	False
52	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False
53	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	False	True
54	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
55	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
56	False	False	True	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False
57	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
58	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	True	True	True	False	False
59	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
60	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
61	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
62	False	False	True	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
63	False	True	False	False	False	True	True	False	False	True	True	True	False	False	True	False	False	False	False	False
64	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
65	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False
66	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
67	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
68	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False
69	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False
70	False	False	True	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
71	True	False	False	True	True	False	False	False	False	True	True	False	True	False	False	True	True	True	True	False
72	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
73	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
74	True	False	False	True	True	False	True	False	False	True	True	False	False	False	True	True	True	True	False	False
75	True	False	False	True	True	False	True	False	False	True	True	False	False	False	False	True	True	True	True	False
76	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
77	False	False	False	False	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False
78	True	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False
