source	target	weight
1752	6	33
1752	0	37
1752	4	14
1752	7	4
1752	1	1
1752	5	1
1751	5	332
1751	1	274
1751	6	102
1751	0	107
1751	8	20
1751	2	19
1751	4	27
1751	3	45
968	0	71
968	5	99
968	3	1
968	1	1
842	0	54
842	5	6
745	5	83
745	1	4
745	0	5
745	4	2
745	8	2
954	1	177
954	8	4
954	0	1
954	4	5
954	6	1
954	5	1
526	1	31
526	5	3
1750	2	3
1750	0	211
1750	8	19
1750	6	80
1750	4	220
1750	5	199
1750	3	69
1750	1	26
1750	7	1
629	2	13
518	0	59
518	6	1
518	3	1
605	3	26
605	0	23
605	6	2
605	7	2
584	1	5
584	0	59
584	3	10
770	1	1
606	5	70
606	1	1
788	1	91
788	4	54
788	6	30
969	1	180
969	8	8
969	4	164
969	5	1
564	4	34
564	6	12
564	5	1
564	1	1
564	8	8
973	6	68
973	3	38
973	7	4
973	2	15
973	0	1
826	6	2
512	6	57
512	1	200
512	4	138
512	7	2
512	5	263
512	8	23
512	2	14
512	3	34
512	0	87
733	1	59
733	6	3
733	5	1
733	4	2
528	0	12
594	6	48
594	1	440
594	4	107
594	5	242
594	8	12
594	0	141
594	3	12
594	2	1
552	0	9
971	3	25
971	6	5
971	2	1
546	2	16
513	6	51
513	7	2
513	5	285
513	8	23
513	2	14
513	3	20
513	0	110
513	1	203
513	4	158
863	8	13
823	8	21
823	1	24
823	6	8
556	0	6
868	6	33
868	4	2
868	7	1
646	0	16
646	1	4
576	6	5
709	4	36
647	5	71
647	0	3
821	4	7
821	6	1
821	0	1
519	1	118
519	3	14
519	8	2
519	4	11
519	0	4
519	6	1
519	5	19
782	2	7
623	5	38
623	0	2
624	5	39
624	1	4
742	1	101
742	0	2
742	5	1
742	3	1
742	8	2
742	4	1
638	0	35
793	1	5
565	3	1
565	6	26
570	6	2
527	0	20
527	5	3
527	3	1
686	4	39
686	6	6
711	0	18
711	6	2
785	1	51
785	5	2
731	1	10
731	6	2
847	0	1
847	6	1
583	8	11
583	5	1
715	5	23
715	8	4
767	5	21
516	6	4
781	6	29
781	4	21
547	0	7
592	1	19
836	2	10
728	5	15
741	5	27
