,,precision,recall,F1
test_ATT,Building Elements,0.9704823614103885,0.9486277269521826,0.9594306044815885
test_ATT,Urban Form Elements,0.9813142323260725,0.9695384615381633,0.9753908058764382
test_ATT,Gastronomy,0.9509433962228266,0.7019498607222787,0.8076923072010652
test_ATT,Interior Scenery,0.9199372056500472,0.9391025641010592,0.929421093868127
test_ATT,Natural Features and Land-scape Scenery,0.9748520710055566,0.9939668174958545,0.9843166537192464
test_ATT,Monuments and Buildings,0.9684144030316055,0.9820627802684292,0.9751908391940606
test_ATT,Peoples Activity and Association,0.9826455842649507,0.9126074498564066,0.9463324043285578
test_ATT,Artifact Products,0.13099041533504477,0.9534883720708491,0.2303370784379971
test_ATT,Urban Scenery,0.9358974358914366,0.9798657718055043,0.9573770486743133
val_ATT,Building Elements,0.9778106508868507,0.946313528990017,0.9618042919694233
val_ATT,Urban Form Elements,0.9812064261894571,0.9671347475348171,0.974119770790735
val_ATT,Gastronomy,0.9607142857108546,0.759887005647571,0.8485804411445133
val_ATT,Interior Scenery,0.9249999999986397,0.9632465543629966,0.943735933482285
val_ATT,Natural Features and Land-scape Scenery,0.9691105321916751,0.991622239146614,0.9802371536498945
val_ATT,Monuments and Buildings,0.9650537634402117,0.9862637362630589,0.9755434777602658
val_ATT,Peoples Activity and Association,0.9844106463874585,0.9112988384368492,0.9464448907451428
val_ATT,Artifact Products,0.13986013985965084,0.9523809523582767,0.24390243879959844
val_ATT,Urban Scenery,0.9041916167610528,0.9869281045687129,0.9437499994950586
test_VAL,Criterion i,0.8558823529399179,0.8162692847113376,0.8356066039499065
test_VAL,Criterion ii,0.6101295641924498,0.7896341463402597,0.6883720925305636
test_VAL,Criterion iii,0.6963285625384591,0.6873464373460152,0.6918083457128854
test_VAL,Criterion iv,0.6026119402973832,0.7745803357295574,0.6778593909019663
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.8975109809660622,0.8308484684194007,0.862894143644645
test_VAL,Criterion vii,0.08333333332638888,0.49999999975,0.1428571425918367
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.3333333332962963,0.59999999988,0.4285714280510204
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8110944527723972,0.7863372093011827,0.7985239847387939
val_VAL,Criterion ii,0.6079613992755031,0.7647951441566544,0.6774193543443254
val_VAL,Criterion iii,0.7098540145981084,0.6905325443782896,0.7000599875020748
val_VAL,Criterion iv,0.6137123745809135,0.7354709418822937,0.669097538244876
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.8922892289226246,0.8384550324215285,0.8645348832211627
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.374999999953125,0.49999999991666666,0.42857142802040815
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.823743185947744,0.8338442673204917,0.8287629489209347
test_VAL_k,Criterion ii,0.6542397660817916,0.7111640842271605,0.681515324077215
test_VAL_k,Criterion iii,0.9598540145984871,0.899285048181489,0.9285828914921356
test_VAL_k,Criterion iv,0.8054290053150591,0.8685772773796746,0.8358120747493516
test_VAL_k,Criterion v,0.16666666666358027,0.4999999999722222,0.24999999961805558
test_VAL_k,Criterion vi,0.9483534281086349,0.905031770564949,0.9261862912401134
test_VAL_k,Criterion vii,0.4062499999957682,0.764705882337947,0.5306122444375954
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.14285714285374151,0.6666666665925925,0.2352941173471742
test_VAL_k,Criterion x,0.6842105263037859,0.9999999999743591,0.8124999995006512
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8163875598084496,0.8277744087323978,0.8220415532487295
val_VAL_k,Criterion ii,0.6351493848856901,0.722222222222126,0.675893023627651
val_VAL_k,Criterion iii,0.9631051752920999,0.9005619731501249,0.9307841234114521
val_VAL_k,Criterion iv,0.8051647716322473,0.855796804588225,0.8297090651344082
val_VAL_k,Criterion v,0.27272727272314046,0.3749999999921875,0.3157894731911357
val_VAL_k,Criterion vi,0.9538489602334334,0.9023295944779464,0.9273743011763079
val_VAL_k,Criterion vii,0.24999999999791667,0.7142857142687076,0.37037036998171013
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.062499999998697923,0.9999999996666666,0.11764705870818916
val_VAL_k,Criterion x,0.5882352941061131,0.9999999999666667,0.7407407402560585
val_VAL_k,Others,0.0,0.0,0.0
