,,precision,recall,F1
test_ATT,Building Elements,0.9524838012952106,0.9483870967735137,0.9504310339820782
test_ATT,Urban Form Elements,0.983494238554661,0.9669320269439783,0.975142812530459
test_ATT,Gastronomy,0.9358490566002421,0.7402985074604768,0.8266666661707167
test_ATT,Interior Scenery,0.8806907378322124,0.9396984924607376,0.9092382490938652
test_ATT,Natural Features and Land-scape Scenery,0.9770710059167984,0.9880329094985086,0.9825213829135586
test_ATT,Monuments and Buildings,0.9835754895761317,0.949969493593075,0.9664804464269253
test_ATT,Peoples Activity and Association,0.9811029695329807,0.9034090909087701,0.9406544642814227
test_ATT,Artifact Products,0.06389776357807062,0.9523809523356009,0.11976047892335688
test_ATT,Urban Scenery,0.6794871794828239,0.9814814814723937,0.8030303025407484
val_ATT,Building Elements,0.964497041419405,0.9442433019544213,0.9542627144645977
val_ATT,Urban Form Elements,0.9854501364046725,0.9713175978485297,0.9783328312782451
val_ATT,Gastronomy,0.9428571428537755,0.7810650887550856,0.854368931540474
val_ATT,Interior Scenery,0.8779411764692971,0.9598070739534409,0.9170506907438232
val_ATT,Natural Features and Land-scape Scenery,0.9739486416073785,0.9886664148088444,0.981252342956728
val_ATT,Monuments and Buildings,0.9845430107520265,0.9556425309843734,0.9698775234981447
val_ATT,Peoples Activity and Association,0.9859315589349863,0.9095054366885621,0.9461777042988619
val_ATT,Artifact Products,0.09090909090877305,0.9285714285382654,0.1656050953779058
val_ATT,Urban Scenery,0.7245508981992542,0.991803278680395,0.8373702417208606
test_VAL,Criterion i,0.8647058823516696,0.7577319587619101,0.8076923071933718
test_VAL,Criterion ii,0.6442873969368147,0.8115727002955319,0.7183191065312655
test_VAL,Criterion iii,0.7199751088981208,0.6762127410866884,0.6974080766549835
test_VAL,Criterion iv,0.5895522388048703,0.7959697732977432,0.6773847797883167
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.8682284040993066,0.8373340864160301,0.8525014371077394
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.777777777691358,0.6363636363057851,0.6999999994349999
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8770614692640524,0.7461734693868034,0.8063404543608577
val_VAL,Criterion ii,0.626055488539655,0.7757847533620691,0.6929238980361542
val_VAL,Criterion iii,0.7402676399022261,0.6887379739667863,0.7135737315436207
val_VAL,Criterion iv,0.5685618729087483,0.7834101382470429,0.6589147281935205
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.8766876687666136,0.8516467502183469,0.8639858067145153
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.74999999990625,0.8571428570204082,0.7999999993955555
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.869775893397765,0.749087115284168,0.8049327349286374
test_VAL_k,Criterion ii,0.620979532163667,0.7980272428368876,0.6984583756639057
test_VAL_k,Criterion iii,0.9621765096217119,0.9025832555243851,0.931427653266319
test_VAL_k,Criterion iv,0.8388382687926577,0.8630859374999438,0.8507893718527616
test_VAL_k,Criterion v,0.05555555555452675,0.49999999991666666,0.09999999981666667
test_VAL_k,Criterion vi,0.9438545978045142,0.9184030817719653,0.930954916077958
test_VAL_k,Criterion vii,0.18749999999804687,0.9999999999444444,0.3157894734127423
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.07142857142687076,0.9999999996666666,0.13333333320296298
test_VAL_k,Criterion x,0.894736842089566,0.9444444444269547,0.9189189184027271
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8666267942582003,0.7582417582416259,0.8088194245648707
val_VAL_k,Criterion ii,0.6042179261862209,0.7899816176469378,0.6847241580429421
val_VAL_k,Criterion iii,0.9636060100166408,0.899906454630449,0.9306675261048555
val_VAL_k,Criterion iv,0.8373482366544075,0.8492963252540494,0.8432799606838618
val_VAL_k,Criterion v,0.0909090909077135,0.6666666665925925,0.15999999978453333
val_VAL_k,Criterion vi,0.9419919737321573,0.9156028368793785,0.9286099617370528
val_VAL_k,Criterion vii,0.04999999999958333,0.6666666665925925,0.09302325568271136
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.7058823529273357,0.9230769230532545,0.7999999994911112
val_VAL_k,Others,0.0,0.0,0.0
