,,precision,recall,F1
test_ATT,Building Elements,0.987041036716352,0.9654929577457989,0.9761480949069842
test_ATT,Urban Form Elements,0.9947056991588307,0.9842835130967691,0.9894671618293231
test_ATT,Gastronomy,0.87924528301555,0.9209486165971504,0.8996138991106944
test_ATT,Interior Scenery,0.9466248037661749,0.9617224880367437,0.9541139235491546
test_ATT,Natural Features and Land-scape Scenery,0.9963017751475606,0.9882611885542963,0.9922651928698084
test_ATT,Monuments and Buildings,0.9797852179400002,0.9828897338396814,0.9813350200624933
test_ATT,Peoples Activity and Association,0.9907443116077937,0.9260994953132927,0.9573318422428987
test_ATT,Artifact Products,0.35782747603719545,0.9655172413709869,0.5221445217475237
test_ATT,Urban Scenery,0.7179487179441157,0.9999999999910714,0.835820895029628
val_ATT,Building Elements,0.9926035502951238,0.9551601423480747,0.9735219436416621
val_ATT,Urban Form Elements,0.9927250682021846,0.985555221185379,0.9891271514175575
val_ATT,Gastronomy,0.9214285714252807,0.9148936170180323,0.9181494656889098
val_ATT,Interior Scenery,0.9338235294103915,0.9724349157718646,0.9527381840449122
val_ATT,Natural Features and Land-scape Scenery,0.9951618905839243,0.9874446085668437,0.9912882293420868
val_ATT,Monuments and Buildings,0.9758064516122474,0.9877551020401444,0.9817444214060485
val_ATT,Peoples Activity and Association,0.9920152091250981,0.9314530524809241,0.960780702869687
val_ATT,Artifact Products,0.33216783216667073,0.9313725490104767,0.48969072125940577
val_ATT,Urban Scenery,0.7485029940074941,0.999999999992,0.856164383066124
test_VAL,Criterion i,0.7705882352929845,0.8478964401280779,0.8073959933365686
test_VAL,Criterion ii,0.6796230859827095,0.7493506493496762,0.7127856696670796
test_VAL,Criterion iii,0.6633478531420888,0.7713458755421336,0.7132820336274813
test_VAL,Criterion iv,0.7332089552225127,0.6834782608683766,0.7074707465740501
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.9229868228401397,0.8409818569901705,0.8800781790345498
test_VAL,Criterion vii,0.49999999995833333,0.6666666665925925,0.5714285708843537
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.777777777691358,0.874999999890625,0.8235294111695501
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.7631184407784661,0.859797297295845,0.8085782361962802
val_VAL,Criterion ii,0.6863691194201612,0.7596795727626706,0.7211660324534763
val_VAL,Criterion iii,0.6697080291966729,0.7753521126755103,0.7186684068129082
val_VAL,Criterion iv,0.7424749163867183,0.6737481031856241,0.706443913581199
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.9237923792376467,0.8421772428881723,0.8810988691531265
val_VAL,Criterion vii,0.79999999984,0.4999999999375,0.615384614816568
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.624999999921875,0.624999999921875,0.624999999421875
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.7571168988490294,0.877192982455935,0.8127438226494669
test_VAL_k,Criterion ii,0.629385964912204,0.7881006864987355,0.699857751995505
test_VAL_k,Criterion iii,0.9713005972129523,0.8959449120121961,0.9321022043881325
test_VAL_k,Criterion iv,0.8752847380409469,0.8414233576641824,0.8580200962623296
test_VAL_k,Criterion v,0.1111111111090535,0.39999999997333335,0.17391304313295528
test_VAL_k,Criterion vi,0.9413352528342066,0.9263325659641741,0.9337736517670242
test_VAL_k,Criterion vii,0.718749999992513,0.7419354838629899,0.7301587296511295
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.14285714285374151,0.6666666665925925,0.2352941173471742
test_VAL_k,Criterion x,0.894736842089566,0.9444444444269547,0.9189189184027271
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.7553827751194666,0.8789144050102344,0.8124798965756962
val_VAL_k,Criterion ii,0.6059753954305089,0.7908256880732735,0.6861691537375212
val_VAL_k,Criterion iii,0.9701168614356722,0.8938624826949242,0.9304299090356521
val_VAL_k,Criterion iv,0.8816727693196581,0.8298567023398736,0.8549803769999378
val_VAL_k,Criterion v,0.4999999999924242,0.6874999999856771,0.578947367923361
val_VAL_k,Criterion vi,0.9379788398394175,0.9224973089342828,0.9301736608603258
val_VAL_k,Criterion vii,0.5749999999952083,0.6571428571365986,0.6133333328301037
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.12499999999739585,0.9999999998333333,0.2222222220164609
val_VAL_k,Criterion x,0.8823529411591696,0.8823529411591696,0.8823529406591696
val_VAL_k,Others,0.0,0.0,0.0
