,,precision,recall,F1
test_ATT,Building Elements,0.2968749999953613,0.17431192660390538,0.21965317872204213
test_ATT,Urban Form Elements,0.28275862068770513,0.2992700729905163,0.2907801413423118
test_ATT,Gastronomy,0.0,0.0,0.0
test_ATT,Interior Scenery,0.11111111110493826,0.047619047617913836,0.06666666624444445
test_ATT,Natural Features and Land-scape Scenery,0.09722222222087192,0.170731707312909,0.1238938048451719
test_ATT,Monuments and Buildings,0.22549019607622067,0.2771084337316011,0.2486486481512345
test_ATT,Peoples Activity and Association,0.18181818181582055,0.1917808219151811,0.18666666616453334
test_ATT,Artifact Products,0.0,0.0,0.0
test_ATT,Urban Scenery,0.0,0.0,0.0
val_ATT,Building Elements,0.18032786884950283,0.09909909909820631,0.12790697628495132
val_ATT,Urban Form Elements,0.24657534246406457,0.26865671641590555,0.2571428566419388
val_ATT,Gastronomy,0.124999999984375,0.09999999999,0.11111111060493828
val_ATT,Interior Scenery,0.09090909090495868,0.04651162790589508,0.0615384610887574
val_ATT,Natural Features and Land-scape Scenery,0.013333333333155555,0.02564102564036818,0.01754385919867653
val_ATT,Monuments and Buildings,0.20388349514365162,0.2727272727237308,0.23333333284117283
val_ATT,Peoples Activity and Association,0.1612903225780437,0.15151515151285583,0.15624999949804685
val_ATT,Artifact Products,0.0,0.0,0.0
val_ATT,Urban Scenery,0.0,0.0,0.0
test_VAL,Criterion i,0.35087719297630043,0.30303030302571166,0.3252032515299094
test_VAL,Criterion ii,0.26086956520604915,0.14634146341106485,0.18749999953369142
test_VAL,Criterion iii,0.31428571427673474,0.23913043477741022,0.27160493777411987
test_VAL,Criterion iv,0.21874999999316408,0.2916666666545139,0.24999999950127558
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.2045454545408058,0.59999999996,0.30508474537316865
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.0,0.0,0.0
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.42028985506637256,0.3972602739671608,0.408450703719996
val_VAL,Criterion ii,0.052631578944598335,0.02173913043431002,0.03076923035455622
val_VAL,Criterion iii,0.16129032257544224,0.12499999999687501,0.14084506992660187
val_VAL,Criterion iv,0.17647058823010384,0.19999999999333334,0.18749999949609375
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.0399999999992,0.14285714284693876,0.06249999965625
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.8085106382950054,0.5352112676043774,0.6440677961290338
test_VAL_k,Criterion ii,0.6116504854349137,0.5727272727255373,0.5915492952733364
test_VAL_k,Criterion iii,0.6323529411749207,0.7413793103426972,0.6825396820410263
test_VAL_k,Criterion iv,0.5639097744346769,0.6521739130415879,0.6048387091784273
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.41747572815398876,0.48863636363451274,0.45026177960622427
test_VAL_k,Criterion vii,0.0,0.0,0.0
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.0,0.0,0.0
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8611111111084534,0.5344827586196658,0.6595744676109351
val_VAL_k,Criterion ii,0.5794392523346436,0.553571428569781,0.5662100451606376
val_VAL_k,Criterion iii,0.6717557251891304,0.7039999999981227,0.6874999994984842
val_VAL_k,Criterion iv,0.6478873239421411,0.7603305785103022,0.6996197713645322
val_VAL_k,Criterion v,0.0,0.0,0.0
val_VAL_k,Criterion vi,0.3805309734502049,0.565789473681729,0.4550264545440124
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.0,0.0,0.0
val_VAL_k,Others,0.0,0.0,0.0
