,,precision,recall,F1
test_ATT,Building Elements,0.9452843772491395,0.9358517462573515,0.9405444121067887
test_ATT,Urban Form Elements,0.9890999688567459,0.9404797157237369,0.9641772915461692
test_ATT,Gastronomy,0.9320754716945959,0.7159420289834321,0.8098360650797151
test_ATT,Interior Scenery,0.8540031397160848,0.9477351916359795,0.8984310482199355
test_ATT,Natural Features and Land-scape Scenery,0.9859467455617655,0.9855822550828149,0.9857644661293268
test_ATT,Monuments and Buildings,0.9810486418187107,0.9249553305533502,0.9521765782858701
test_ATT,Peoples Activity and Association,0.9533359043575189,0.9406392694060348,0.9469450291874589
test_ATT,Artifact Products,0.17252396166079068,0.7605633802709779,0.28124999969711645
test_ATT,Urban Scenery,0.4358974358946417,0.9855072463625288,0.6044444440138271
val_ATT,Building Elements,0.9652366863898186,0.9361549497841204,0.9504734153770648
val_ATT,Urban Form Elements,0.9887844801451989,0.951020408162988,0.969534848660252
val_ATT,Gastronomy,0.9464285714251913,0.7549857549836041,0.8399366080615129
val_ATT,Interior Scenery,0.8308823529399546,0.9641638225239519,0.8925750389958171
val_ATT,Natural Features and Land-scape Scenery,0.987718645328996,0.9866171003713804,0.9871675650566348
val_ATT,Monuments and Buildings,0.9778225806445041,0.9350899742924582,0.9559789745324728
val_ATT,Peoples Activity and Association,0.9631178707220672,0.9423363095234589,0.9526137640728489
val_ATT,Artifact Products,0.18881118881052864,0.6666666666584362,0.29427792880971726
val_ATT,Urban Scenery,0.5568862275415756,0.9999999999892473,0.7153846149196154
test_VAL,Criterion i,0.8867647058810489,0.7481389578154489,0.8115746966761229
test_VAL,Criterion ii,0.5724381625434953,0.9016697588109431,0.7002881839619721
test_VAL,Criterion iii,0.5220908525198992,0.8290513833983902,0.6407025577536488
test_VAL,Criterion iv,0.6958955223867614,0.6365187713299718,0.6648841349721786
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.9537335285502332,0.7823684842659662,0.8595935598107939
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.3333333332962963,0.7499999998125,0.4615384610414201
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.8770614692640524,0.7321652065072188,0.7980900404306592
val_VAL,Criterion ii,0.5524728588654373,0.8945312499982528,0.683072333605967
val_VAL,Criterion iii,0.5431873479315431,0.8200183654721579,0.6534943280967969
val_VAL,Criterion iv,0.7073578595305897,0.6703645007913307,0.6883645235024949
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.9555955595556689,0.7844827586204964,0.8616258618067796
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.124999999984375,0.9999999989999999,0.22222222197530864
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.864324651726052,0.80394366197168,0.8330414472529738
test_VAL_k,Criterion ii,0.454678362573044,0.9228486646881991,0.6092066596947743
test_VAL_k,Criterion iii,0.9616788321167351,0.8988990541168709,0.9292297823008722
test_VAL_k,Criterion iv,0.9307137433560535,0.8273709078636051,0.8760050021816825
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.9602303401115133,0.9174690508940326,0.9383627885620173
test_VAL_k,Criterion vii,0.12499999999869792,0.9999999999166667,0.22222222202057612
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.5789473684108957,0.9999999999696971,0.7333333328525926
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.8576555023921735,0.808798646361946,0.8325108848413425
val_VAL_k,Criterion ii,0.4372583479788591,0.9073668854848267,0.590132826885502
val_VAL_k,Criterion iii,0.9659432387311649,0.8963594113090164,0.9298513454227052
val_VAL_k,Criterion iv,0.9327423395644033,0.8189509306260113,0.8721506437042379
val_VAL_k,Criterion v,0.0,0.0,0.0
val_VAL_k,Criterion vi,0.9551258664720323,0.9093435220562168,0.9316725973650147
val_VAL_k,Criterion vii,0.024999999999791665,0.9999999996666666,0.04878048775649414
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.47058823528489047,0.9999999999583333,0.6399999995477333
val_VAL_k,Others,0.0,0.0,0.0
