,,precision,recall,F1
test_ATT,Building Elements,0.9999999999843749,0.9696969696822773,0.984615384100355
test_ATT,Urban Form Elements,0.9931034482690132,0.9664429530136481,0.9795918362281225
test_ATT,Gastronomy,0.9090909090082645,0.8333333332638889,0.8695652168166352
test_ATT,Interior Scenery,0.8888888888395061,0.9999999999375,0.941176470034602
test_ATT,Natural Features and Land-scape Scenery,0.9861111110974151,0.9861111110974151,0.9861111105974151
test_ATT,Monuments and Buildings,0.9803921568531334,0.9900990098911872,0.9852216743671528
test_ATT,Peoples Activity and Association,0.96103896102648,0.9866666666535111,0.9736842100135906
test_ATT,Artifact Products,0.0,0.0,0.0
test_ATT,Urban Scenery,0.8333333332638889,0.9999999999,0.9090909085123966
val_ATT,Building Elements,0.9999999999836067,0.9384615384471006,0.968253967739103
val_ATT,Urban Form Elements,0.979452054787812,0.9662162162096878,0.972789115139664
val_ATT,Gastronomy,0.999999999875,0.7272727272066115,0.8421052625817174
val_ATT,Interior Scenery,0.9545454545020661,0.999999999952381,0.9767441855013521
val_ATT,Natural Features and Land-scape Scenery,0.9866666666535111,0.9367088607476366,0.9610389605268173
val_ATT,Monuments and Buildings,0.970873786398341,0.970873786398341,0.970873785898341
val_ATT,Peoples Activity and Association,0.9516129032104579,0.9833333333169445,0.9672131142383769
val_ATT,Artifact Products,0.0,0.0,0.0
val_ATT,Urban Scenery,0.49999999995,0.9999999998,0.6666666661333333
test_VAL,Criterion i,0.9298245613871962,0.8983050847305373,0.9137931029326695
test_VAL,Criterion ii,0.913043478221172,0.6176470588053634,0.7368421047559249
test_VAL,Criterion iii,0.4857142857004082,0.7083333333038194,0.5762711859385233
test_VAL,Criterion iv,0.8437499999736329,0.7105263157707757,0.7714285709102042
test_VAL,Criterion v,0.0,0.0,0.0
test_VAL,Criterion vi,0.7499999999829546,0.8918918918677868,0.8148148142984302
test_VAL,Criterion vii,0.0,0.0,0.0
test_VAL,Criterion viii,0.0,0.0,0.0
test_VAL,Criterion ix,0.0,0.0,0.0
test_VAL,Criterion x,0.0,0.0,0.0
test_VAL,Others,0.0,0.0,0.0
val_VAL,Criterion i,0.9420289854935937,0.8783783783665083,0.9090909085788058
val_VAL,Criterion ii,0.6842105262797784,0.4999999999807692,0.5777777772641974
val_VAL,Criterion iii,0.580645161271592,0.899999999955,0.705882352436755
val_VAL,Criterion iv,0.8823529411505191,0.7499999999812501,0.810810810292184
val_VAL,Criterion v,0.0,0.0,0.0
val_VAL,Criterion vi,0.7399999999852,0.860465116259059,0.7956989242169037
val_VAL,Criterion vii,0.0,0.0,0.0
val_VAL,Criterion viii,0.0,0.0,0.0
val_VAL,Criterion ix,0.0,0.0,0.0
val_VAL,Criterion x,0.0,0.0,0.0
val_VAL,Others,0.0,0.0,0.0
test_VAL_k,Criterion i,0.9574468085072432,0.8910891089079502,0.9230769225744117
test_VAL_k,Criterion ii,0.8252427184439313,0.7589285714263128,0.790697673917029
test_VAL_k,Criterion iii,0.882352941174308,0.8510638297852221,0.866425992277861
test_VAL_k,Criterion iv,0.8721804511256337,0.90624999999764,0.8888888883868019
test_VAL_k,Criterion v,0.0,0.0,0.0
test_VAL_k,Criterion vi,0.8058252427158388,0.8829787234011243,0.8426395934068215
test_VAL_k,Criterion vii,0.0,0.0,0.0
test_VAL_k,Criterion viii,0.0,0.0,0.0
test_VAL_k,Criterion ix,0.0,0.0,0.0
test_VAL_k,Criterion x,0.0,0.0,0.0
test_VAL_k,Others,0.0,0.0,0.0
val_VAL_k,Criterion i,0.9444444444415295,0.9107142857115753,0.9272727267700827
val_VAL_k,Criterion ii,0.822429906539494,0.7272727272707238,0.7719298240610316
val_VAL_k,Criterion iii,0.8473282442726532,0.7985611510772217,0.822222221720631
val_VAL_k,Criterion iv,0.8309859154910071,0.8872180451105584,0.8581818176802732
val_VAL_k,Criterion v,0.24999999998958333,0.9999999998333333,0.39999999965333327
val_VAL_k,Criterion vi,0.8141592920329966,0.901960784310778,0.8558139529870272
val_VAL_k,Criterion vii,0.0,0.0,0.0
val_VAL_k,Criterion viii,0.0,0.0,0.0
val_VAL_k,Criterion ix,0.0,0.0,0.0
val_VAL_k,Criterion x,0.0,0.0,0.0
val_VAL_k,Others,0.0,0.0,0.0
